Generation,ID,Name,Type1,Type2,HP,Defense,Attack,SP Defense,Link
3,331,Cacnea,grass,,35,85,40,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png
3,333,Swablu,normal,flying,50,40,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png
3,335,Zangoose,normal,,90,60,60,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png
3,336,Seviper,poison,,65,100,60,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png
3,337,Lunatone,rock,psychic,70,95,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png
3,338,Solrock,rock,psychic,70,55,65,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png
3,339,Barboach,water,ground,60,46,41,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png
3,341,Corphish,water,,35,50,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png
3,343,Baltoy,ground,psychic,55,40,70,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png
3,345,Lileep,rock,grass,23,61,87,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png
3,347,Anorith,rock,bug,75,40,50,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png
3,349,Feebas,water,,80,10,55,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png
3,351,Castform,normal,,70,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png
3,352,Kecleon,normal,,40,60,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png
3,353,Shuppet,ghost,,45,63,33,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png
3,355,Duskull,ghost,,25,30,90,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png
3,357,Tropius,grass,flying,51,72,87,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png
3,359,Absol,dark,,75,75,60,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png
3,360,Wynaut,psychic,,23,23,48,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png
3,361,Snorunt,ice,,50,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png
3,363,Spheal,ice,water,25,55,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png
3,366,Clamperl,water,,32,74,55,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png
3,369,Relicanth,water,rock,55,45,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png
3,370,Luvdisc,water,,97,40,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png
3,371,Bagon,dragon,,50,40,30,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png
3,374,Beldum,steel,psychic,30,35,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png
3,358,Chimecho,psychic,,65,95,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png
3,362,Glalie,ice,,80,80,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png
3,364,Sealeo,ice,water,45,75,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png
3,365,Walrein,ice,water,65,95,90,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png
3,367,Huntail,water,,52,94,75,104,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png
3,368,Gorebyss,water,,52,114,75,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png
3,372,Shelgon,dragon,,50,60,50,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png
3,373,Salamence,dragon,flying,100,110,80,135,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png
3,375,Metang,steel,psychic,50,55,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png
3,377,Regirock,rock,,50,50,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png
3,378,Regice,ice,,50,100,200,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png
3,379,Registeel,steel,,50,75,150,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png
3,380,Latias,dragon,psychic,110,110,130,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png
3,381,Latios,dragon,psychic,110,130,110,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png
3,382,Kyogre,water,,90,150,140,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png
3,383,Groudon,ground,,90,100,90,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png
3,384,Rayquaza,dragon,flying,95,150,90,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png
3,385,Jirachi,steel,psychic,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png
3,253,Grovyle,grass,,95,85,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png
3,254,Sceptile,grass,,120,105,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png
3,256,Combusken,fire,fighting,55,85,60,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png
3,257,Blaziken,fire,fighting,80,110,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png
3,259,Marshtomp,water,ground,50,60,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png
3,260,Swampert,water,ground,60,85,90,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png
3,262,Mightyena,dark,,70,60,60,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png
3,264,Linoone,normal,,100,50,61,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png
3,266,Silcoon,bug,,15,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png
3,267,Beautifly,bug,flying,65,100,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png
3,268,Cascoon,bug,,15,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png
3,269,Dustox,bug,poison,65,50,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png
3,271,Lombre,water,grass,50,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png
3,272,Ludicolo,water,grass,70,90,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png
3,274,Nuzleaf,grass,dark,60,60,40,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png
3,275,Shiftry,grass,dark,80,90,60,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png
3,277,Swellow,normal,flying,125,75,50,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png
3,279,Pelipper,water,flying,65,95,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png
3,281,Kirlia,psychic,fairy,50,65,55,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png
3,282,Gardevoir,psychic,fairy,80,125,115,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png
3,284,Masquerain,bug,flying,80,100,82,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png
3,286,Breloom,grass,fighting,70,60,60,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png
3,288,Vigoroth,normal,,90,55,55,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png
3,289,Slaking,normal,,100,95,65,160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png
3,291,Ninjask,bug,flying,160,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png
3,292,Shedinja,bug,ghost,40,30,30,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png
3,294,Loudred,normal,,48,71,43,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png
3,295,Exploud,normal,,68,91,73,91,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png
3,297,Hariyama,fighting,,50,40,60,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png
3,301,Delcatty,normal,,90,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png
3,305,Lairon,steel,rock,40,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png
3,306,Aggron,steel,rock,50,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png
3,308,Medicham,fighting,psychic,80,60,75,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png
3,310,Manectric,electric,,105,105,60,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png
3,315,Roselia,grass,poison,65,100,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png
3,317,Swalot,poison,,55,73,83,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png
3,319,Sharpedo,water,dark,95,95,40,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png
3,321,Wailord,water,,60,90,45,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png
3,323,Camerupt,fire,ground,40,105,75,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png
3,326,Grumpig,psychic,,80,90,110,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png
3,329,Vibrava,ground,dragon,70,50,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png
3,330,Flygon,ground,dragon,100,80,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png
3,332,Cacturne,grass,dark,55,115,60,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png
3,334,Altaria,dragon,flying,80,70,105,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png
3,340,Whiscash,water,ground,60,76,71,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png
3,342,Crawdaunt,water,dark,55,90,55,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png
3,344,Claydol,ground,psychic,75,70,120,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png
3,346,Cradily,rock,grass,43,81,107,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png
3,348,Armaldo,rock,bug,45,70,80,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png
3,350,Milotic,water,,81,100,125,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png
3,354,Banette,ghost,,65,83,63,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png
3,356,Dusclops,ghost,,25,60,130,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png
3,376,Metagross,steel,psychic,70,95,90,135,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png
