Generation,ID,Name,Type1,Type2,HP,Defense,Attack,SP Defense,Link
1,60,Poliwag,water,,90,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
1,63,Abra,psychic,,90,105,55,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
1,66,Machop,fighting,,35,35,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
1,69,Bellsprout,grass,poison,40,70,30,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
1,72,Tentacool,water,poison,70,50,100,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
1,74,Geodude,rock,ground,20,30,30,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
1,77,Ponyta,fire,,90,65,65,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
1,79,Slowpoke,water,psychic,15,40,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
1,81,Magnemite,electric,steel,45,95,55,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
1,83,Farfetchd,normal,flying,60,58,62,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
1,84,Doduo,normal,flying,75,35,35,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
1,86,Seel,water,,45,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
1,88,Grimer,poison,,25,40,50,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
1,90,Shellder,water,,40,45,25,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
1,92,Gastly,ghost,poison,80,100,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
1,95,Onix,rock,ground,70,30,45,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
1,96,Drowzee,psychic,,42,43,90,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
1,98,Krabby,water,,50,25,25,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
1,100,Voltorb,electric,,100,55,55,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
1,102,Exeggcute,grass,psychic,40,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
1,104,Cubone,ground,,35,40,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
1,108,Lickitung,normal,,30,60,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
1,109,Koffing,poison,,35,60,45,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
1,111,Rhyhorn,ground,rock,25,30,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
1,114,Tangela,grass,,60,100,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
1,115,Kangaskhan,normal,,90,40,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
1,116,Horsea,water,,60,70,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
1,118,Goldeen,water,,63,35,50,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
1,120,Staryu,water,,85,70,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
1,123,Scyther,bug,flying,105,55,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
1,127,Pinsir,bug,,85,55,70,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
1,128,Tauros,normal,,110,40,70,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
1,129,Magikarp,water,,80,15,20,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
1,131,Lapras,water,ice,60,85,95,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
1,132,Ditto,normal,,48,48,48,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
1,133,Eevee,normal,,55,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
1,137,Porygon,normal,,40,85,75,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
1,138,Omanyte,rock,water,35,90,55,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
1,140,Kabuto,rock,water,55,55,45,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
1,142,Aerodactyl,rock,flying,130,60,75,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
1,144,Articuno,ice,flying,85,95,125,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
1,145,Zapdos,electric,flying,100,125,90,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
1,146,Moltres,fire,flying,90,125,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
1,147,Dratini,dragon,,50,50,50,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
1,150,Mewtwo,psychic,,130,154,90,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
1,151,Mew,psychic,,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
1,2,Ivysaur,grass,poison,60,80,80,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
1,3,Venusaur,grass,poison,80,100,100,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
1,5,Charmeleon,fire,,80,80,65,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
1,6,Charizard,fire,flying,100,109,85,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
1,8,Wartortle,water,,58,65,80,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
1,9,Blastoise,water,,78,85,105,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
1,11,Metapod,bug,,30,25,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
1,12,Butterfree,bug,flying,70,90,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
1,14,Kakuna,bug,poison,35,25,25,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
1,15,Beedrill,bug,poison,75,45,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
1,17,Pidgeotto,normal,flying,71,50,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
1,18,Pidgeot,normal,flying,101,70,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
1,20,Raticate,normal,,97,50,70,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
1,22,Fearow,normal,flying,100,61,61,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
1,24,Arbok,poison,,80,65,79,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
1,25,Pikachu,electric,,90,50,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
1,26,Raichu,electric,,110,90,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
1,28,Sandslash,ground,,65,45,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
1,30,Nidorina,poison,,56,55,55,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
1,31,Nidoqueen,poison,ground,76,75,85,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
1,33,Nidorino,poison,,65,55,55,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
1,34,Nidoking,poison,ground,85,85,75,102,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
1,35,Clefairy,fairy,,35,60,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
1,36,Clefable,fairy,,60,95,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
1,38,Ninetales,fire,,100,81,100,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
1,39,Jigglypuff,normal,fairy,20,45,25,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
1,40,Wigglytuff,normal,fairy,45,85,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
1,42,Golbat,poison,flying,90,65,75,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
1,44,Gloom,grass,poison,40,85,75,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
1,45,Vileplume,grass,poison,50,110,90,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
1,47,Parasect,bug,grass,30,60,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
1,49,Venomoth,bug,poison,90,90,75,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
1,51,Dugtrio,ground,,120,50,70,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
1,53,Persian,normal,,115,65,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
1,55,Golduck,water,,85,95,80,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
1,57,Primeape,fighting,,95,60,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
1,59,Arcanine,fire,,95,100,80,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
1,61,Poliwhirl,water,,90,50,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
1,62,Poliwrath,water,fighting,70,70,90,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
1,64,Kadabra,psychic,,105,120,70,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
1,65,Alakazam,psychic,,120,135,95,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
1,67,Machoke,fighting,,45,50,60,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
1,68,Machamp,fighting,,55,65,85,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
1,70,Weepinbell,grass,poison,55,85,45,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
1,71,Victreebel,grass,poison,70,100,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
1,73,Tentacruel,water,poison,100,80,120,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
1,75,Graveler,rock,ground,35,45,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
1,76,Golem,rock,ground,45,55,65,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
1,78,Rapidash,fire,,105,80,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
1,80,Slowbro,water,psychic,30,100,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
1,82,Magneton,electric,steel,70,120,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
1,85,Dodrio,normal,flying,110,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
1,87,Dewgong,water,ice,70,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
1,89,Muk,poison,,50,65,100,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
1,91,Cloyster,water,ice,70,85,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
1,93,Haunter,ghost,poison,95,115,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
1,94,Gengar,ghost,poison,110,130,75,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
1,97,Hypno,psychic,,67,73,115,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
1,99,Kingler,water,,75,50,50,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
1,101,Electrode,electric,,150,80,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
1,103,Exeggutor,grass,psychic,55,125,75,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
1,105,Marowak,ground,,45,50,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
1,106,Hitmonlee,fighting,,87,35,110,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
1,107,Hitmonchan,fighting,,76,35,110,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
1,110,Weezing,poison,,60,85,70,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
1,112,Rhydon,ground,rock,40,45,45,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
1,113,Chansey,normal,,50,35,105,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
1,117,Seadra,water,,85,95,45,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
1,119,Seaking,water,,68,65,80,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
1,121,Starmie,water,psychic,115,100,85,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
1,122,Mr-Mime,psychic,fairy,90,100,120,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
1,124,Jynx,ice,psychic,95,115,95,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
1,125,Electabuzz,electric,,105,95,85,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
1,126,Magmar,fire,,93,100,85,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
1,130,Gyarados,water,flying,81,60,100,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
1,134,Vaporeon,water,,65,110,95,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
1,135,Jolteon,electric,,130,110,95,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
1,136,Flareon,fire,,65,95,110,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
1,139,Omastar,rock,water,55,115,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
1,141,Kabutops,rock,water,80,65,70,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
1,143,Snorlax,normal,,30,65,110,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
1,148,Dragonair,dragon,,70,70,70,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
1,149,Dragonite,dragon,flying,80,100,100,134,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
